Team Number,Total Wins,Total Losses,Total Ties,Lifetime Win Rate,Lifetime Matches Played,Total Season Wins,Total Season Losses,Total Season Ties,Lifetime Season Win Rate,Total Season Matches Played,2019 Wins,2019 Losses,2019 Ties,2019 Win Rate,2019 Total Matches,2019 Season Wins,2019 Season Losses,2019 Season Ties,2019 Season Win Rate,2019 Season Total Matches,2018 Wins,2018 Losses,2018 Ties,2018 Win Rate,2018 Total Matches,2018 Season Wins,2018 Season Losses,2018 Season Ties,2018 Season Win Rate,2018 Season Total Matches,2017 Wins,2017 Losses,2017 Ties,2017 Win Rate,2017 Total Matches,2017 Season Wins,2017 Season Losses,2017 Season Ties,2017 Season Win Rate,2017 Season Total Matches,2016 Wins,2016 Losses,2016 Ties,2016 Win Rate,2016 Total Matches,2016 Season Wins,2016 Season Losses,2016 Season Ties,2016 Season Win Rate,2016 Season Total Matches,2015 Wins,2015 Losses,2015 Ties,2015 Win Rate,2015 Total Matches,2015 Season Wins,2015 Season Losses,2015 Season Ties,2015 Season Win Rate,2015 Season Total Matches,2014 Wins,2014 Losses,2014 Ties,2014 Win Rate,2014 Total Matches,2014 Season Wins,2014 Season Losses,2014 Season Ties,2014 Season Win Rate,2014 Season Total Matches,2013 Wins,2013 Losses,2013 Ties,2013 Win Rate,2013 Total Matches,2013 Season Wins,2013 Season Losses,2013 Season Ties,2013 Season Win Rate,2013 Season Total Matches,2012 Wins,2012 Losses,2012 Ties,2012 Win Rate,2012 Total Matches,2012 Season Wins,2012 Season Losses,2012 Season Ties,2012 Season Win Rate,2012 Season Total Matches,2011 Wins,2011 Losses,2011 Ties,2011 Win Rate,2011 Total Matches,2011 Season Wins,2011 Season Losses,2011 Season Ties,2011 Season Win Rate,2011 Season Total Matches,2010 Wins,2010 Losses,2010 Ties,2010 Win Rate,2010 Total Matches,2010 Season Wins,2010 Season Losses,2010 Season Ties,2010 Season Win Rate,2010 Season Total Matches,2009 Wins,2009 Losses,2009 Ties,2009 Win Rate,2009 Total Matches,2009 Season Wins,2009 Season Losses,2009 Season Ties,2009 Season Win Rate,2009 Season Total Matches,2008 Wins,2008 Losses,2008 Ties,2008 Win Rate,2008 Total Matches,2008 Season Wins,2008 Season Losses,2008 Season Ties,2008 Season Win Rate,2008 Season Total Matches,2007 Wins,2007 Losses,2007 Ties,2007 Win Rate,2007 Total Matches,2007 Season Wins,2007 Season Losses,2007 Season Ties,2007 Season Win Rate,2007 Season Total Matches,2006 Wins,2006 Losses,2006 Ties,2006 Win Rate,2006 Total Matches,2006 Season Wins,2006 Season Losses,2006 Season Ties,2006 Season Win Rate,2006 Season Total Matches,2005 Wins,2005 Losses,2005 Ties,2005 Win Rate,2005 Total Matches,2005 Season Wins,2005 Season Losses,2005 Season Ties,2005 Season Win Rate,2005 Season Total Matches,2004 Wins,2004 Losses,2004 Ties,2004 Win Rate,2004 Total Matches,2004 Season Wins,2004 Season Losses,2004 Season Ties,2004 Season Win Rate,2004 Season Total Matches,2003 Wins,2003 Losses,2003 Ties,2003 Win Rate,2003 Total Matches,2003 Season Wins,2003 Season Losses,2003 Season Ties,2003 Season Win Rate,2003 Season Total Matches
1,278,300,23,48.10%,601,275,295,279,48.25%,593,10,15,1,40.00%,26,10,15,1,40.00%,26,16,12,0,57.14%,28,16,12,0,57.14%,28,8,18,0,30.77%,26,8,18,0,30.77%,26,14,12,1,53.85%,27,14,12,1,53.85%,27,27,27,4,50.00%,58,27,27,4,50.00%,58,10,17,0,37.04%,27,10,17,0,37.04%,27,15,17,0,46.88%,32,15,17,0,46.88%,32,15,20,0,42.86%,35,15,20,0,42.86%,35,19,24,2,44.19%,45,19,24,2,44.19%,45,26,25,9,50.98%,60,26,25,9,50.98%,60,30,22,0,57.69%,52,30,22,0,57.69%,52,23,23,0,50.00%,46,20,18,0,52.63%,38,11,9,2,55.00%,22,11,9,2,55.00%,22,19,13,1,59.38%,33,19,13,1,59.38%,33,15,17,1,46.88%,33,15,17,1,46.88%,33,11,13,2,45.83%,26,11,13,2,45.83%,26,9,16,0,36.00%,25,9,16,0,36.00%,25
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,166,220,14,43.01%,400,140,182,182,43.48%,335,11,14,0,44.00%,25,11,14,0,44.00%,25,20,26,0,43.48%,46,14,16,0,46.67%,30,11,18,0,37.93%,29,9,10,0,47.37%,19,22,24,0,47.83%,46,10,13,0,43.48%,23,9,25,1,26.47%,35,6,19,1,24.00%,26,14,15,1,48.28%,30,11,12,0,47.83%,23,10,9,0,52.63%,19,10,9,0,52.63%,19,6,13,1,31.58%,20,6,13,1,31.58%,20,8,12,3,40.00%,23,8,12,3,40.00%,23,9,9,4,50.00%,22,9,9,4,50.00%,22,5,9,0,35.71%,14,5,9,0,35.71%,14,10,17,0,37.04%,27,10,17,0,37.04%,27,13,18,3,41.94%,34,13,18,3,41.94%,34,18,11,1,62.07%,30,18,11,1,62.07%,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,63,67,5,48.46%,135,59,57,43,50.86%,121,4,10,0,28.57%,14,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1,29.41%,18,5,12,1,29.41%,18,6,6,0,50.00%,12,6,6,0,50.00%,12,4,3,1,57.14%,8,4,3,1,57.14%,8,6,8,0,42.86%,14,6,8,0,42.86%,14,27,14,3,65.85%,44,27,14,3,65.85%,44,11,14,0,44.00%,25,11,14,0,44.00%,25
6,4,6,1,40.00%,11,4,6,1,40.00%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,40.00%,11,4,6,1,40.00%,11
7,50,47,5,51.55%,102,50,47,44,51.55%,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,37.50%,9,3,5,1,37.50%,9,4,5,0,44.44%,9,4,5,0,44.44%,9,4,8,2,33.33%,14,4,8,2,33.33%,14,10,6,0,62.50%,16,10,6,0,62.50%,16,4,4,0,50.00%,8,4,4,0,50.00%,8,3,3,1,50.00%,7,3,3,1,50.00%,7,5,3,0,62.50%,8,5,3,0,62.50%,8,4,3,0,57.14%,7,4,3,0,57.14%,7,9,7,1,56.25%,17,9,7,1,56.25%,17,4,3,0,57.14%,7,4,3,0,57.14%,7
8,263,288,12,47.73%,563,215,235,223,47.78%,459,25,15,1,62.50%,41,25,15,1,62.50%,41,20,14,0,58.82%,34,14,10,0,58.33%,24,32,36,1,47.06%,69,18,25,1,41.86%,44,24,25,2,48.98%,51,14,15,1,48.28%,30,14,21,0,40.00%,35,6,14,0,30.00%,20,9,22,1,29.03%,32,8,14,0,36.36%,22,9,12,0,42.86%,21,9,12,0,42.86%,21,19,24,0,44.19%,43,14,19,0,42.42%,33,7,12,1,36.84%,20,7,12,1,36.84%,20,17,9,2,65.38%,28,17,9,2,65.38%,28,14,15,1,48.28%,30,12,11,0,52.17%,23,26,30,0,46.43%,56,24,26,0,48.00%,50,6,11,2,35.29%,19,6,11,2,35.29%,19,18,12,0,60.00%,30,18,12,0,60.00%,30,10,5,1,66.67%,16,10,5,1,66.67%,16,2,13,0,13.33%,15,2,13,0,13.33%,15,11,12,0,47.83%,23,11,12,0,47.83%,23
9,49,50,3,49.49%,102,49,50,37,49.49%,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,55.56%,10,5,4,1,55.56%,10,6,5,0,54.55%,11,6,5,0,54.55%,11,8,15,1,34.78%,24,8,15,1,34.78%,24,7,5,0,58.33%,12,7,5,0,58.33%,12,8,8,1,50.00%,17,8,8,1,50.00%,17,15,13,0,53.57%,28,15,13,0,53.57%,28
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
